Table
Nivel de mercado ,Valor observado ,Fechas de Observación 1 a 3 ,Fechas de Ejercicio 1 a 3 ,Fecha de Ejercicio 4 
0.00 ,0.00 ,0.00 ,0.00 ,Ps. 70.00 
13.78 ,5.00 ,0.00 ,0.00 ,Ps. 70.00 
27.56 ,10.00 ,0.00 ,0.00 ,Ps. 70.00 
41.34 ,15.00 ,0.00 ,0.00 ,Ps. 70.00 
55.12 ,20.00 ,0.00 ,0.00 ,Ps. 70.00 
68.90 ,25.00 ,0.00 ,0.00 ,Ps. 70.00 
82.68 ,30.00 ,0.00 ,0.00 ,Ps. 70.00 
96.46 ,35.00 ,0.00 ,0.00 ,Ps. 70.00 
110.24 ,40.00 ,0.00 ,0.00 ,Ps. 70.00 
124.02 ,45.00 ,0.00 ,0.00 ,Ps. 70.00 
137.80 ,50.00 ,0.00 ,0.00 ,Ps. 70.00 
151.57 ,55.00 ,0.00 ,0.00 ,Ps. 70.00 
165.35 ,60.00 ,0.00 ,0.00 ,Ps. 70.00 
179.13 ,65.00 ,0.00 ,0.00 ,Ps. 75.00 
192.91 ,70.00 ,0.00 ,0.00 ,Ps. 80.00 
206.69 ,75.00 ,0.00 ,0.00 ,Ps. 85.00 
220.47 ,80.00 ,0.00 ,0.00 ,Ps. 90.00 
234.25 ,85.00 ,0.00 ,0.00 ,Ps. 95.00 
248.03 ,90.00 ,3.80 ,0.00 ,Ps. 103.80 
261.81 ,95.00 ,3.80 ,0.00 ,Ps. 103.80 
275.59 ,100.00 ,0.00 ,103.80 ,Ps. 103.80 
289.37 ,105.00 ,0.00 ,103.80 ,Ps. 103.80 
303.15 ,110.00 ,0.00 ,103.80 ,Ps. . 103.80 
316.93 ,115.00 ,0.00 ,103.80 ,Ps. 103.80 
330.71 ,120.00 ,0.00 ,103.80 ,Ps. 103.80 
344.49 ,125.00 ,0.00 ,103.80 ,Ps. .103.80 
358.27 ,130.00 ,0.00 ,103.80 ,Ps. 103.80 
372.05 ,135.00 ,0.00 ,103.80 ,Ps. 103.80 
385.83 ,140.00 ,0.00 ,103.80 ,Ps. 103.80 


