Table
Nivel de mercado Valor ,observado (VO) ,Pago de derechos a vencimiento 
73.72 ,165.00 ,Ps. 110.00 
75.96 ,170.00 ,Ps. .110.00 
78.19 ,175.00 ,Ps. 110.00 
80.42 ,180.00 ,Ps. .110.00 
82.66 ,185.00 ,Ps. 110.00 
84.89 ,190.00 ,Ps. 110.00 
87.13 ,195.00 ,Ps. 110.00 
89.36 ,200.00 ,Ps. 110.00 
91.59 ,205.00 ,Ps. 110.00 
93.83 ,210.00 ,Ps. 110.00 
96.06 ,215.00 ,Ps. 110.00 


Table
Periodo ,Precio mínimo ,Precio máximo ,Volumen promedio (títulos) 
2016 ,139.68 ,191.25 ,"574,520.86 "
2017 ,156.14 ,329.28 ,"654,072.62 "
2018 ,257.52 ,413.94 ,"758,838.04 "
2019 ,292.85 ,690.10 ,"546,875.16 "
2020 ,447.34 ,"1,732.39 ","560,993.75 "
2° Sem. 2019 ,482.95 ,690.10 ,"468,868.29 "
1° Sem. 2020 ,447.34 ,985.77 ,"632,196.32 "
2° Sem. 2020 ,956.62 ,"1,732.39 ","490,565.12 "
1° Sem. 2021 ,"1,296.65 ","1,984.34 ","512,280.52 "
enero 2021 ,"1,571.98 ","1,984.34 ","615,625.81 "
febrero 2021 ,"1,613.06 ","1,943.00 ","469,695.39 "
marzo 2021 ,"1,369.54 ","1,713.28 ","695,958.16 "
abril 2021 ,"1,503.45 ","1,623.01 ","382,685.93 "


