Table
Nivel de mercado ,Valor observado ,Fechas de Observación 1 a 8 Fechas ,de Ejercicio 1 a 8 ,Fecha de Ejercicio 9 
"1,734.69 ",110.00 ,Ps. 0.00 ,Ps. 102.39 ,Ps. 102.39 
"1,813.54 ",115.00 ,Ps. 0.00 ,Ps. 102.39 ,Ps. 102.39 
"1,892.39 ",120.00 ,Ps. 0.00 ,Ps. 102.39 ,Ps. 102.39 
"1,971.24 ",125.00 ,Ps. 0.00 ,Ps. 102.39 ,Ps. 102.39 
"2,050.09 ",130.00 ,Ps. 0.00 ,Ps. 102.39 ,Ps. 102.39 
"2,128.94 ",135.00 ,Ps. 0.00 ,Ps. 102.39 ,Ps. 102.39 
"2,207.79 ",140.00 ,Ps. 0.00 ,Ps. 102.39 ,Ps. 102.39 


Table
Nivel de mercado ,Valor observado ,Fechas de Observación 1a8 ,Fechas de Ejercicio 1 a 8 ,Fecha de Ejercicio 9 
0.00 ,0.00 ,0.00 ,0.00 ,Ps. 10.00 
80.05 ,5.00 ,0.00 ,0.00 ,Ps. 15.00 
160.09 ,10.00 ,0.00 ,0.00 ,Ps. 20.00 
240.14 ,15.00 ,0.00 ,0.00 ,Ps. 25.00 
320.18 ,20.00 ,0.00 ,0.00 ,Ps. 30.00 
400.23 ,25.00 ,0.00 ,0.00 ,Ps. 35.00 
480.27 ,30.00 ,0.00 ,0.00 ,Ps. 40.00 
560.32 ,35.00 ,0.00 ,0.00 ,Ps. 45.00 
640.36 ,40.00 ,0.00 ,0.00 ,Ps. 50.00 
720.41 ,45.00 ,0.00 ,0.00 ,Ps. 55.00 
800.45 ,50.00 ,0.00 ,0.00 ,Ps. 60.00 
880.50 ,55.00 ,0.00 ,0.00 ,Ps. 65.00 
960.54 ,60.00 ,0.00 ,0.00 ,Ps. 70.00 
"1,040.59 ",65.00 ,0.00 ,0.00 ,Ps. 75.00 
"1,120.63 ",70.00 ,0.00 ,0.00 ,Ps.80.00 
"1,200.68 ",75.00 ,0.00 ,0.00 ,Ps. 85.00 
"1,280.72 ",80.00 ,0.00 ,0.00 ,Ps. 90.00 
"1,360.77 ",85.00 ,0.00 ,0.00 ,Ps. 95.00 
"1,440.81 ",90.00 ,2.24 ,0.00 ,Ps. 102.24 
"1,520.86 ",95.00 ,2.24 ,0.00 ,Ps. 102.24 
"1,600.90 ",100.00 ,0.00 ,102.24 ,Ps. 102.24 
"1,680.95 ",105.00 ,0.00 ,102.24 ,Ps. 102.24 
"1,760.99 ",110.00 ,0.00 ,102.24 ,Ps. 102.24 


