Table
Nivel de mercado ,Valor observado ,Fechas de Observación 1a6 ,Fechas de Ejercicio 1 a 6 ,Fecha de Ejercicio 7 
0.00 ,0.00 ,0.00 ,0.00 ,Ps. 0.00 
12.61 ,5.00 ,0.00 ,0.00 ,Ps. 5.00 
25.22 ,10.00 ,0.00 ,0.00 ,Ps. 10.00 
37.83 ,15.00 ,0.00 ,0.00 ,Ps. 15.00 
50.44 ,20.00 ,0.00 ,0.00 ,Ps. 20.00 
63.05 ,25.00 ,0.00 ,0.00 ,Ps. .25.00 
75.65 ,30.00 ,0.00 ,0.00 ,Ps. 30.00 
88.26 ,35.00 ,0.00 ,0.00 ,Ps. .35.00 
100.87 ,40.00 ,0.00 ,0.00 ,Ps. 40.00 
113.48 ,45.00 ,0.00 ,0.00 ,Ps. 45.00 
126.09 ,50.00 ,0.00 ,0.00 ,Ps. 50.00 
138.70 ,55.00 ,0.00 ,0.00 ,Ps. 55.00 
151.31 ,60.00 ,0.00 ,0.00 ,Ps. 60.00 
163.92 ,65.00 ,0.00 ,0.00 ,Ps. 65.00 
176.53 ,70.00 ,0.00 ,0.00 ,Ps. 70.00 
189.14 ,75.00 ,0.00 ,0.00 ,Ps. 75.00 
201.74 ,80.00 ,0.00 ,0.00 ,Ps. 80.00 
214.35 ,85.00 ,0.55 ,0.00 ,Ps. 100.55 
226.96 ,90.00 ,0.55 ,0.00 ,Ps. 100.55 
239.57 ,95.00 ,0.55 ,0.00 ,Ps. 100.55 
252.18 ,100.00 ,0.00 ,100.55 ,Ps. 100.55 
264.79 ,105.00 ,0.00 ,100.55 ,Ps. 100.55 
277.40 ,110.00 ,0.00 ,100.55 ,Ps. 100.55 
290.01 ,115.00 ,0.00 ,100.55 ,Ps. 100.55 
302.62 ,120.00 ,0.00 ,100.55 ,Ps. 100.55 


