Table
Tipo de valor ,Emisora / Serie ,Número de títulos ,Precio de mercado ,Coef. beta ,Periodo en meses para el cálculo de beta ,Coefic. delta (en caso de opciones y títulos opcionales) ,Delta títulos ,Delta en términos de emisoras 
Cobertura ,SXE108R DC063 ,"808,500 ",0.00 ,1.0000 ,12 ,0.000089 ,71.94 ,71.9397 
Cobertura ,XLE110R DC013 ,"1,360,000 ",0.00 ,1.0000 ,12 ,(0.003142) ,"(4,273.54) ","(4,273.5448) "
Cobertura ,INT112R DC006 ,"371,500 ",0.00 ,1.0000 ,12 ,0.030371 ,"11,282.85 ","11,282.8500 "
Cobertura ,XLB202R DC001 ,"490,000 ",0.00 ,1.0000 ,12 ,0.014154 ,"6,935.34 ","6,935.3413 "
Cobertura ,BAB202L DC045 ,"1,219,500 ",0.00 ,1.0000 ,12 ,0.012793 ,"15,601.20 ","15,601.2009 "
Cobertura ,XLV203R DC010 ,"267,500 ",0.00 ,1.0000 ,12 ,0.012643 ,"3,381.87 ","3,381.8737 "
Cobertura ,BAG204L DC008 ,"400,000 ",0.00 ,1.0000 ,12 ,0.021786 ,"8,714.60 ","8,714.5968 "
Cobertura ,NVD210L DC110 ,"1,667,500 ",0.00 ,1.0000 ,12 ,0.000153 ,255.56 ,255.5581 
Cobertura ,PYL210L DC020 ,"484,700 ",0.00 ,1.0000 ,12 ,0.004066 ,"1,970.81 ","1,970.8062 "
Cobertura ,MLI110L DC001 ,"275,000 ",0.00 ,1.0000 ,12 ,0.002032 ,558.92 ,558.9186 
Cobertura ,MLI204L DC002 ,"180,000 ",0.00 ,1.0000 ,12 ,0.001670 ,300.65 ,300.6465 
Cobertura ,MLI210L DC003 ,"471,600 ",0.00 ,1.0000 ,12 ,0.001275 ,601.10 ,601.0962 
Cobertura ,BAB204L DC046 ,"400,000 ",0.00 ,1.0000 ,12 ,0.016535 ,"6,614.17 ","6,614.1742 "
Cobertura ,TSL110L DC061 ,"200,000 ",0.00 ,1.0000 ,12 ,0.002009 ,401.78 ,401.7764 
Cobertura ,MLI210L DC004 ,"330,200 ",0.00 ,1.0000 ,12 ,0.001424 ,470.07 ,470.0694 
Cobertura ,PYL205L DC021 ,"1,983,000 ",0.00 ,1.0000 ,12 ,0.003496 ,"6,933.24 ","6,933.2420 "
Cobertura ,TSL112L DC062 ,"246,400 ",0.00 ,1.0000 ,12 ,0.005306 ,"1,307.33 ","1,307.3264 "
Cobertura ,INT112L DC010 ,"128,600 ",0.00 ,1.0000 ,12 ,0.039108 ,"5,029.32 ","5,029.3168 "
Cobertura ,ICL211R DC003 ,"586,000 ",0.00 ,1.0000 ,12 ,0.073256 ,"42,928.19 ","42,928.1936 "
Cobertura ,MSF112L DC047 ,"100,000 ",0.00 ,1.0000 ,12 ,(0.000000) ,0.00 ,(0.0000) 
Cobertura ,AMZ112L DC185 ,"183,500 ",0.00 ,1.0000 ,12 ,0.000677 ,124.24 ,124.2449 
Cobertura ,ICL211L DC004 ,"516,000 ",0.00 ,1.0000 ,12 ,0.110849 ,"57,198.14 ","57,198.1410 "
Cobertura ,ICL211L DC005 ,"303,000 ",0.00 ,1.0000 ,12 ,0.100310 ,"30,393.85 ","30,393.8523 "
Cobertura ,CVS111L DC026 ,"153,500 ",0.00 ,1.0000 ,12 ,0.026994 ,"4,143.65 ","4,143.6521 "
Cobertura ,TSL211L DC063 ,"547,280 ",0.00 ,1.0000 ,12 ,0.001911 ,"1,045.93 ","1,045.9347 "
Cobertura ,FBK205L DC094 ,"740,700 ",0.00 ,1.0000 ,12 ,0.002407 ,"1,783.12 ","1,783.1222 "


