Table
Millones de pesos ,,,,% ,Variación ,,,%Variació n 
,2T21 ,1T21 ,2T20 ,TaT ,AaA ,6M21 ,6M20 ,21/20 
Cobradas ,,,,,,,,
Tarjeta de débito y crédito ,"2,291 ","2,235 ","1,983 ",2.5 ,15.5 ,"4,526 ","4,259 ",6.3 
Manejo de cuentas ,658 ,650 ,641 ,1.2 ,2.7 ,"1,308 ","1,289 ",1.5 
Servicios de cobros y pagos ,551 ,592 ,508 ,(6.9) ,8.5 ,"1,143 ","1,104 ",3.5 
Sociedades de inversión ,429 ,414 ,396 ,3.6 ,8.3 ,843 ,790 ,6.7 
Seguros ,"1,471 ","1,285 ","1,369 ",14.5 ,7.5 ,"2,756 ","2,600 ",6.0 
Compra-venta de valores y ,,,,,,,,
operaciones de mercado de dinero ,239 ,238 ,246 ,0.4 ,(2.8) ,477 ,495 ,(3.6) 
Negociación de cheques ,43 ,42 ,36 ,2.4 ,19.4 ,85 ,89 ,(4.5) 
Comercio exterior ,408 ,394 ,388 ,3.6 ,5.2 ,802 ,787 ,1.9 
Asesoría técnica y ofertas públicas ,343 ,435 ,435 ,(21.1) ,(21.1) ,778 ,871 ,(10.7) 
Otras ,229 ,250 ,186 ,(8.4) ,23.1 ,479 ,412 ,16.3 
Total ,"6,662 ","6,535 ","6,188 ",1.9 ,7.7 ,"13,197 ","12,696 ",3.9 
Pagadas ,,,,,,,,
Tarjeta de débito y crédito ,(959) ,(785) ,(820) ,22.2 ,17.0 ,"(1,744) ","(1,815) ",(3.9) 
Sociedades de inversión ,(1) ,0 ,0 ,100.0 ,100.0 ,(1) ,0 ,100.0 
Seguros ,(34) ,(37) ,(29) ,(8.1) ,17.2 ,(71) ,(61) ,16.4 
Compra venta de valores y ,,,,,,,,
operaciones de mercado de dinero ,(41) ,(42) ,(56) ,(2.4) ,(26.8) ,(83) ,(95) ,(12.6) 
Negociación de cheques ,(12) ,(11) ,(10) ,9.1 ,20.0 ,(23) ,(21) ,9.5 
Asesoría técnica y ofertas publicas ,0 ,(7) ,(9) ,(100.0) ,(100.0) ,(7) ,(10) ,(30.0) 
Corresponsalías Bancarias ,(219) ,(216) ,(173) ,1.4 ,26.6 ,(435) ,(381) ,14.2 
Otras ,(523) ,(535) ,(493) ,(2.2) ,6.1 ,"(1,058) ","(1,018) ",3.9 
Total ,"(1,789) ","(1,633) ","(1,590) ",9.6 ,12.5 ,"(3,422) ","(3,401) ",0.6 
Comisiones y tarifas (neto) ,,,,,,,,
Tarjeta de débito y crédito ,"1,332 ","1,450 ","1,163 ",(8.1) ,14.5 ,"2,782 ","2,444 ",13.8 
Manejo de cuentas ,658 ,650 ,641 ,1.2 ,2.7 ,"1,308 ","1,289 ",1.5 
Servicios de cobros y pagos ,551 ,592 ,508 ,(6.9) ,8.5 ,"1,143 ","1,104 ",3.5 
Sociedades de inversión ,428 ,414 ,396 ,3.4 ,8.1 ,842 ,790 ,6.6 
Seguros ,"1,437 ","1,248 ","1,340 ",15.1 ,7.2 ,"2,685 ","2,539 ",5.8 
Compra venta de valores y ,,,,,,,,
operaciones de mercado de dinero ,198 ,196 ,190 ,1.0 ,4.2 ,394 ,400 ,(1.5) 
Negociación de cheques ,31 ,31 ,26 ,0.0 ,19.2 ,62 ,68 ,(8.8) 
Comercio exterior ,408 ,394 ,388 ,3.6 ,5.2 ,802 ,787 ,1.9 
Asesoría técnica y ofertas publicas ,343 ,428 ,426 ,(19.9) ,(19.5) ,771 ,861 ,(10.5) 
Corresponsalías Bancarias ,(219) ,(216) ,(173) ,1.4 ,26.6 ,(435) ,(381) ,14.2 
Otras ,(294) ,(285) ,(307) ,3.2 ,(4.2) ,(579) ,(606) ,(4.5) 
Total ,"4,873 ","4,902 ","4,598 ",(0.6) ,6.0 ,"9,775 ","9,295 ",5.2 


