Table
"Consejeros Serie ""F"" Independientes ",
Laura Renné Diez Barroso Azcárraga ,Presidenta 
Cesar Augusto Montemayor Zambrano ,Consejero Propietario 
Juan Ignacio Gallardo Thurlow ,Consejero Suplente 
Guillermo Jorge Quiroz Abed ,Consejero Suplente 
Alberto Torrado Martínez ,Consejero Suplente 
Bárbara Garza Lagüera Gonda ,Consejero Suplente 
José Eduardo Carredano Fernández ,Consejero Suplente 
"Consejeros Serie ""F"" No Independientes ",
Héctor Blas Grisi Checa Magdalena Sofía Salarich Fernández de Valderrama Francisco Javier García-Carranza Benjumea Ángel Rivera Congosto Didier Mena Campos Rodrigo Brand de Lara ,Consejero Propietario Consejero Propietario Consejero Propietario Consejero Propietario Consejero Propietario Consejero Suplente 
Emilio De Eusebio Sanz ,Consejero Suplente 
"Consejeros Serie ""B"" Independientes ",
Antonio Purón Mier y Terán ,Consejero Propietario 
Fernando Benjamín Ruíz Sahagún ,Consejero Propietario 
María de Lourdes Melgar Palacios ,Consejero Propietario 
Esther Giménez-Salinas Colomer ,Consejero Propietario 
Jesús Federico Reyes Heroles González Garza ,Consejero Suplente 
Rogelio Zambrano Lozano ,Consejero Suplente 
Joaquín Vargas Guajardo ,Consejero Suplente 
Guillermo Francisco Vogel Hinojosa ,Consejero Suplente 


