Table
Millones de pesos ,2021 ,,,2020 ,,
Pasivo ,Jun ,Mar ,Dic ,Sep ,Jun ,Mar 
Captación ,"840,840 ","848,345 ","845,107 ","862,618 ","880,490 ","861,518 "
Depósitos de exigibilidad inmediata ,"548,636 ","536,791 ","515,449 ","507,949 ","506,332 ","529,554 "
Depósitos a plazo - público en general ,"178,069 ","183,904 ","195,736 ","199,815 ","223,703 ","216,206 "
Depósitos a plazo - mercado de dinero ,"38,058 ","45,094 ","51,467 ","63,483 ","58,072 ","63,040 "
Títulos de crédito emitidos ,"74,177 ","80,718 ","80,663 ","89,634 ","90,750 ","51,178 "
Cuenta global de captación sin movimientos ,"1,900 ","1,838 ","1,792 ","1,737 ","1,633 ","1,540 "
Préstamos bancarios y de otros organismos ,"43,321 ","42,825 ","47,876 ","45,252 ","73,378 ","40,595 "
De exigibilidad inmediata ,"14,187 ","10,960 ","5,425 ","2,349 ","30,459 ",275 
De corto plazo ,"14,895 ","17,793 ","18,338 ","18,904 ","18,972 ","16,973 "
De largo plazo ,"14,239 ","14,072 ","24,113 ","23,999 ","23,947 ","23,347 "
Acreedores por reporto ,"175,437 ","295,632 ","335,429 ","282,666 ","267,962 ","234,582 "
Colaterales vendidos o dados en garantía ,"29,755 ","20,952 ","15,610 ","14,260 ","15,411 ","10,209 "
Reportos ,526 ,414 ,347 ,748 ,999 ,"2,392 "
Préstamo de valores ,"29,229 ","20,538 ","15,263 ","13,512 ","14,412 ","7,817 "
Derivados ,"197,271 ","223,898 ","305,465 ","332,882 ","399,025 ","361,310 "
Con fines de negociación ,"187,373 ","211,768 ","286,511 ","308,571 ","371,702 ","336,580 "
Con fines de cobertura ,"9,898 ","12,130 ","18,954 ","24,311 ","27,323 ","24,730 "
Ajuste de valuación por cobertura de pasivos financieros ,(1) ,0 ,0 ,2 ,4 ,3 
Otras cuentas por pagar ,"150,840 ","119,429 ","111,181 ","129,664 ","104,481 ","110,432 "
Participación de los trabajadores en las utilidades por pagar ,211 ,437 ,359 ,279 ,226 ,424 
Acreedores por liquidación de operaciones ,"81,831 ","49,320 ","39,945 ","57,490 ","38,272 ","44,548 "
Acreedores por cuentas de margen ,69 ,180 ,5 ,27 ,109 ,627 
Acreedores por colaterales recibidos en efectivo ,"21,836 ","18,883 ","23,053 ","24,917 ","26,471 ","23,230 "
Acreedores diversos y otras cuentas por pagar ,"46,893 ","50,609 ","47,819 ","46,951 ","39,403 ","41,603 "
Obligaciones subordinadas en circulación ,"36,186 ","36,757 ","36,182 ","39,814 ","41,957 ","42,218 "
Créditos diferidos y cobros anticipados ,794 ,806 ,492 ,51 ,106 ,302 
Total pasivo ,"1,474,443 ","1,588,644 ","1,697,342 ","1,707,209 ","1,782,814 ","1,661,169 "
Capital contribuido ,"35,034 ","34,976 ","34,933 ","35,030 ","34,977 ","34,917 "
Capital social ,"29,799 ","29,799 ","29,799 ","29,799 ","29,799 ","29,799 "
Prima en venta de acciones ,"5,235 ","5,177 ","5,134 ","5,231 ","5,178 ","5,118 "
Capital ganado ,"124,907 ","124,678 ","123,938 ","116,445 ","111,559 ","106,124 "
Reservas de capital ,"26,940 ","25,446 ","25,446 ","25,446 ","25,446 ","23,845 "
Resultado de ejercicios anteriores ,"93,089 ","96,673 ","76,672 ","76,837 ","77,013 ","78,802 "
Resultado por valuación de títulos disponibles para la venta ,"(1,586) ",563 ,"3,632 ","1,276 ","1,516 ",(467) 
Resultado por valuación de instrumentos de cobertura de flujos ,,,,,,
de efectivo ,19 ,159 ,(491) ,(820) ,"(1,104) ",(527) 
Efecto acumulado por conversión ,9 ,9 ,9 ,9 ,9 ,9 
Remediciones por beneficios definidos a los empleados ,"(1,606) ","(1,488) ","(1,523) ","(1,009) ","(1,001) ",(995) 
Resultado neto ,"7,992 ","3,279 ","20,154 ","14,674 ","9,644 ","5,414 "
Participación no controladora ,50 ,37 ,39 ,32 ,36 ,43 
Total capital contable ,"159,941 ","159,654 ","158,871 ","151,475 ","146,536 ","141,041 "
Total pasivo y capital contable ,"1,634,384 ","1,748,298 ","1,856,213 ","1,858,684 ","1,929,350 ","1,802,210 "


