Table
,Criterios Contables Especiales ,Criterio Contable B-6 
Cartera de crédito vigente: ,,
Créditos comerciales ,,
Actividad empresarial o comercial ,"405,407 ","403,558 "
Créditos de consumo ,"110,756 ","110,510 "
Créditos a la vivienda ,,
Media y residencial ,"163,426 ","160,451 "
De interés social ,5 ,5 
Créditos adquiridos al Infonavit o el Fovissste ,"10,329 ","10,329 "
Total de cartera de crédito vigente ,"689,923 ","684,583 "
Cartera de crédito vencida: ,,
Créditos comerciales ,,
Actividad empresarial o comercial ,"6,673 ","8,354 "
Créditos de consumo ,"4,835 ","5,009 "
Créditos a la vivienda ,,
Media y residencial ,"7,119 ","9,800 "
De interés social ,8 ,8 
Créditos adquiridos al Infonavit o el Fovissste ,"1,766 ","1,766 "
Total de cartera de crédito vencida ,"20,401 ","24,937 "
Cartera de crédito ,"710,324 ","709,790 "
(-) Menos: ,,
Estimación preventiva para riesgos crediticios ,,
Créditos comerciales ,,
Actividad empresarial o comercial ,"(8,956) ","(8,628) "
Créditos de consumo ,"(10,918) ","(10,914) "
Créditos a la vivienda ,,
Media y residencial ,"(3,995) ","(4,277) "
De interés social ,(0) ,(0) 
Créditos adquiridos al Infonavit o el Fovissste ,(283) ,(303) 
Total de estimación preventiva para riesgos crediticios ,"(24,152) ","(24,122) "
Total de cartera de crédito (Neto) ,"686,172 ","685,668 "


