Table
Las inversiones en valores se integran de la siguiente manera: ,Valor Contable 
Títulos para negociar: ,
Valores bancarios ,"8,801 "
Valores gubernamentales ,"112,091 "
Acciones ,"2,065 "
,"122,957 "
Títulos disponibles para la venta: ,
Valores gubernamentales ,"322,430 "
Valores privados ,"1,264 "
Acciones ,659 
,"324,353 "
Títulos conservados a vencimiento: ,
Valores gubernamentales ,"7,796 "
Cetes Especiales ,"3,579 "
,"11,375 "
Total ,"458,685 "


Table
La cartera de reporto se integra como sigue: ,
,Saldo neto de reportos 
Saldos deudores ,
Valores bancarios ,"2,094 "
Valores gubernamentales ,"37,411 "
Total ,"39,505 "
Saldos acreedores ,
Valores bancarios ,"4,492 "
Valores gubernamentales ,"170,497 "
Valores privados ,448 
Total ,"175,437 "
,"(135,932) "


