Table
43 ,Ajustes regulatorios totales al capital adicional de nivel 1 ,0 
44 ,Capital adicional de nivel 1 (AT1) ,"9,950 "
45 ,Capital de nivel 1 (T1 = CET1 + AT1) ,"123,462 "
,Capital de nivel 2: instrumentos y reservas ,
46 ,"Instrumentos emitidos directamente que califican como capital de nivel 2, más su prima ","26,235 "
47 ,Instrumentos de capital emitidos directamente sujetos a eliminación gradual del capital de nivel 2 ,0 
48 ,"Instrumentos de capital de nivel 2 e instrumentos de capital común de nivel 1 y capital adicional de nivel 1 que no se hayan incluido en los renglones 5 o 34, los cuales hayan sido emitidos por subsidiarias en tenencia de terceros (monto permitido en el capital complementario de nivel 2) ",0 
49 ,de los cuales: Instrumentos emitidos por subsidiarias sujetos a eliminación gradual ,0 
50 ,Reservas ,893 
51 ,Capital de nivel 2 antes de ajustes regulatorios ,"27,128 "
,Capital de nivel 2: ajustes regulatorios ,
52 (conservador) ,Inversiones en instrumentos propios de capital de nivel 2 ,
53 (conservador) ,Inversiones recíprocas en instrumentos de capital de nivel 2 ,
54 (conservador) ,"Inversiones en el capital de bancos, instituciones financieras y aseguradoras fuera del alcance de la consolidación regulatoria, netas de las posiciones cortas elegibles, donde la Institución no posea más del 10% del capital social emitido (monto que excede el umbral del 10%) ",
55 (conservador) ,"Inversiones significativas en el capital de bancos, instituciones financieras y aseguradoras fuera del alcance de consolidación regulatoria, netas de posiciones cortas elegibles, donde la Institución posea más del 10% del capital social emitido ",
56 ,Ajustes regulatorios nacionales ,0 
57 ,Ajustes regulatorios totales al capital de nivel 2 ,0 
58 ,Capital de nivel 2 (T2) ,"27,128 "
59 ,Capital total (TC = T1 + T2) ,"150,590 "
60 ,Activos ponderados por riesgo totales ,"796,432 "
,Razones de capital y suplementos ,
61 ,Capital Común de Nivel 1 (como porcentaje de los activos ponderados por riesgo totales) ,14.25% 
62 ,Capital de Nivel 1 (como porcentaje de los activos ponderados por riesgo totales) ,15.50% 
63 ,Capital Total (como porcentaje de los activos ponderados por riesgo totales) ,18.91% 
64 ,"Suplemento específico institucional (al menos deberá constar de: el requerimiento de capital común de nivel 1 más el colchón de conservación de capital, más el colchón contracíclico, más el colchón D-SIB; expresado como porcentaje de los activos ponderados por riesgo totales) ",17.95% 
65 ,del cual: Suplemento de conservación de capital ,2.50% 
66 ,del cual: Suplemento contracíclico bancario específico ,
67 ,del cual: Suplemento de bancos globales sistémicamente importantes (D-SIB) ,1.20% 
68 ,Capital Común de Nivel 1 disponible para cubrir los suplementos (como porcentaje de los activos ponderados por riesgo totales) ,7.25% 
,Mínimos nacionales (en caso de ser diferentes a los de Basilea 3) ,
69 ,Razón mínima nacional de CET1 (si difiere del mínimo establecido por Basilea 3) ,
70 ,Razón mínima nacional de T1 (si difiere del mínimo establecido por Basilea 3) ,
71 ,Razón mínima nacional de TC (si difiere del mínimo establecido por Basilea 3) ,


