Table
Tabla III.2 ,,
Activos ponderados sujetos a riesgo de crédito por ,grupo de riesgo ,
Concepto ,Activos ponderados por riesgo ,Requerimiento de capital 
Grupo I-A (ponderados al 0%) ,0.0 ,0.0 
Grupo I-A (ponderados al 10%) ,0.0 ,0.0 
Grupo I-A (ponderados al 20%) ,0.0 ,0.0 
Grupo I-B (ponderados al 2%) ,199.2 ,15.9 
Grupo I-B (ponderados al 4.0%) ,0.0 ,0.0 
Grupo II (ponderados al 0%) ,0.0 ,0.0 
Grupo Il (ponderados al 20%) ,"2,248.0 ",179.8 
Grupo Il (ponderados al 50%) ,0.0 ,0.0 
Grupo Il (ponderados al 100%) ,"28,233.1 ","2,258.7 "
Grupo Il (ponderados al 120%) ,0.0 ,0.0 
Grupo Il (ponderados al 150%) ,0.0 ,0.0 
Grupo III (ponderados al 2.5%) ,0.0 ,0.0 
Grupo III (ponderados al 10%) ,0.0 ,0.0 
Grupo III (ponderados al 11.50%) ,0.0 ,0.0 
Grupo III (ponderados al 20%) ,"24,993.8 ","1,999.5 "
Grupo III (ponderados al 23%) ,36.8 ,2.9 
Grupo III (ponderados al 25%) ,0.0 ,0.0 
Grupo III (ponderados al 28.75%) ,0.0 ,0.0 
Grupo III (ponderados al 50%) ,0.0 ,0.0 
Grupo III (ponderados al 57.5%) ,0.0 ,0.0 
Grupo III (ponderados al 60%) ,0.0 ,0.0 
Grupo III (ponderados al 75%) ,0.0 ,0.0 
Grupo III (ponderados al 100%) ,"23,890.5 ","1,911.2 "
Grupo III (ponderados al 115%) ,0.0 ,0.0 
Grupo III (ponderados al 120%) ,0.0 ,0.0 
Grupo III (ponderados al 138%) ,0.0 ,0.0 
Grupo III (ponderados al 150%) ,0.0 ,0.0 
Grupo III (ponderados al 172.5%) ,0.0 ,0.0 
Grupo IV (ponderados al 0%) ,0.0 ,0.0 
Grupo IV (ponderados al 20%) ,"8,354.0 ",668.3 
Grupo V (ponderados al 10%) ,0.0 ,0.0 
Grupo V (ponderados al 20%) ,"8,874.3 ",709.9 
Grupo V (ponderados al 50%) ,0.0 ,0.0 
Grupo V (ponderados al 115%) ,0.0 ,0.0 
Grupo V (ponderados al 150%) ,0.0 ,0.0 
Grupo VI (ponderados al 20%) ,0.0 ,0.0 
Grupo VI (ponderados al 50%) ,"46,291.0 ","3,703.3 "
Grupo VI (ponderados al 75%) ,"35,044.0 ","2,803.5 "
Grupo VI (ponderados al 100%) ,"70,867.6 ","5,669.4 "
Grupo VI (ponderados al 120%) ,0.0 ,0.0 
Grupo VI (ponderados al 150%) ,0.0 ,0.0 


Table
Posiciones en acciones o con rendimiento indizado al precio de una acción o grupo de acciones ,"5,333.6 ",426.7 
Posiciones en Mercancías ,0.5 ,0.0 
Requerimiento de Capital por Impacto de Gamma y Vega ,0.9 ,0.1 


