Table
,,"requerido por la CNBV en ese momento, de conformidad con la sección IV, inciso c), subinciso 1, del Anexo 1-R de la Circular Única de Bancos o cualquier disposición que la sustituya; o, en caso que dicho monto, junto con cualquier condonación o conversión simultánea prorrata, no fuera suficiente para restaurar el Coeficiente de Capital Fundamental de Banco Santander México a la cantidad antes referida, entonces (ii) una conversión del Monto de Principal Actual de los Instrumentos en ese momento, en el monto necesario a efecto de reducir a cero el monto de principal de cada Instrumento en circulación. "
26 ,Precio de Conversión ,"El Precio de Conversión será: (i) En caso de que las Acciones Ordinarias coticen en la Bolsa Mexicana de Valores, el mayor de: a. El precio de cierre de las Acciones Ordinarias calculado como un promedio ponderado por volumen de operación en la Bolsa Mexicana de Valores durante los 30 (treinta) Días Hábiles consecutivos inmediatos anteriores a la Fecha de Conversión, siendo cada precio de cierre de los 30 (treinta) Días Hábiles consecutivos anteriores convertido de Pesos a Dólares al tipo de cambio vigente en dicho momento; o b. Un precio mínimo de Ps.20.30 (veinte Pesos 30/100 M.N.), convertido a Dólares al tipo de cambio vigente en dicho momento; (ii) En caso de que las Acciones Ordinarias no sean admitidas a cotizar en la Bolsa Mexicana de Valores, el precio mínimo de Ps.20.30 (veinte Pesos 30/100 M.N.), convertido a Dólares al tipo de cambio vigente en dicho momento. El Precio de Conversión estará sujeto a ciertos ajustes anti- disolución. "
27 ,Tipo de Conversión del Instrumento ,Obligatoria. 
28 ,Tipo de instrumento financiero en los que se convertiría el Instrumento de Capital ,Acciones Ordinarias Serie F. 
29 ,Emisor de dicho instrumento financiero ,"Banco Santander México, S.A., Institución de Banca Múltiple, Grupo Financiero Santander México. "
30 ,Cláusula de Pérdida de Valor (Write-Down) ,No. 
31 ,Evento de Actualización del Supuesto de Pérdida de Valor ,N.A. 
32 ,Profundidad de la pérdida de valor del Instrumento ,N.A. 
33 ,Temporalidad de la baja de valor del Instrumento como consecuencia de una actualización del supuesto de pérdida de valor ,N.A. 
34 ,Mecanismo de disminución temporal de valor ,N.A. 
35 ,Prelación del Instrumento ,"Los Instrumentos representan obligaciones generales, quirografarias y subordinadas de Banco Santander México. Los Instrumentos constituyen Obligaciones Subordinadas No Preferentes y están (i) subordinados y supeditados en derecho de pago y liquidación a toda la Deuda Senior y Obligaciones Subordinadas Preferentes presentes o futuras de Banco Santander México, (ii) tienen la misma prioridad de pago y no habrá preferencia entre los mismos y con todas las demás Obligaciones Subordinadas No Preferentes, quirografarias presentes o futuras de Banco "


