Table
,Integración de las principales fuentes de apalancamiento ,
Referencia ,Rubro ,jun-2021 
1 ,Partidas dentro del balance (excluidos instrumentos financieros derivados y operaciones de reporto y préstamo de valores -SFT por sus siglas en inglés-pero incluidos los colaterales recibidos en garantía y registrados en el balance) ,"1,388,234 "
2 ,(Importes de los activos deducidos para determinar el capital de nivel 1 de Basilea III) ,"(46,315) "
3 ,"Exposiciones dentro del balance (Netas) (excluidos instrumentos financieros derivados y SFT, suma de las líneas 1 2) ","1,341,920 "
,Exposiciones a instrumentos financieros derivados ,
4 ,Costo actual de reemplazo asociado a todas las operaciones con instrumentos financieros derivados (neto del margen de variación en efectivo admisible) ,"26,276 "
5 ,"Importes de los factores adicionales por exposición potencial futura, asociados a todas las operaciones con instrumentos financieros derivados ","45,587 "
6 ,Incremento por Colaterales aportados en operaciones con instrumentos financieros derivados cuando dichos colaterales sean dados de baja del balance conforme al marco contable operativo ,
7 ,(Deducciones a las cuentas por cobrar por margen de variación en efectivo aportados en operaciones con instrumentos financieros derivados) ,0 
8 ,"(Exposición por operaciones en instrumentos financieros derivados por cuenta de clientes, en las que el socio liquidador no otorga su garantía en caso del incumplimiento de las obligaciones de la Contraparte Central) ",
9 ,Importe nocional efectivo ajustado de los instrumentos financieros derivados de crédito suscritos ,
10 ,(Compensaciones realizadas al nocional efectivo ajustado de los instrumentos financieros derivados de crédito suscritos y deducciones de los factores adicionales por los instrumentos financieros derivados de crédito suscritos) ,
11 ,Exposiciones totales a instrumentos financieros derivados (suma de las líneas 4 a 10) ,"71,862 "
,Exposiciones por operaciones de financiamiento con valores ,
12 ,"Activos SFT brutos (sin reconocimiento de compensación), después de ajustes por transacciones contables por ventas ","109,622 "
13 ,(Cuentas por pagar y por cobrar de SFT compensadas) ,"(70,117) "
14 ,Exposición Riesgo de Contraparte por SFT ,"1,096 "
15 ,Exposiciones por SFT actuando por cuenta de terceros ,
16 ,Exposiciones totales por operaciones de financiamiento con valores (suma de las líneas 12 a 15) ,"40,602 "
,Otras exposiciones fuera de balance ,
17 ,Exposición fuera de balance (importe nocional bruto) ,"147,224 "
18 ,(Ajustes por conversión a equivalentes crediticios) ,"(48,989) "
19 ,Partidas fuera de balance (suma de las líneas 17y 18) ,"98,234 "


Table
,,Santander México y (iii) tienen prioridad de pago únicamente respecto de todas las clases de capital social de Banco Santander México. 
36 ,Existen características que no cumplan con los ,
,"anexos 1-Q, 1-R y 1-S ",No. 
37 ,"Si afirmativo, ¿cuáles? ",N.A. 


