Table
Segmento ,jul-20 ,ago-20 ,sep-20 ,Promedio 
"Riesgo Soberano, Banca de Desarrollo e ",,,,
Instituciones Financieras ,995 ,843 ,"1,062 ",967 
Corporativos ,509 ,492 ,470 ,490 
Project Finance ,466 ,437 ,437 ,447 
Empresas ,352 ,298 ,289 ,313 


Table
Segmento ,jul-20 ,ago-20 ,sep-20 ,Promedio 
"Riesgo Soberano, Banca de Desarrollo e ",,,,
Instituciones Financieras ,"22,880 ","17,059 ","19,688 ","19,876 "
Corporativos ,(440) ,(432) ,(435) ,(436) 
Project Finance ,296 ,279 ,272 ,282 
Empresas ,235 ,195 ,186 ,205 


Table
Millones de dólares americanos ,,,,,
Segmento ,jul-20 ,ago-20 ,,sep-20 ,Promedio 
"Riesgo Soberano, Banca de Desarrollo e Instituciones Financieras ",6.8 ,6.7 ,,6.7 ,6.7 
Corporativos ,6.1 ,5.9 ,,6.0 ,6.0 


