Table
Ticker ,Nombre ,Ticker ,Nombre ,Ticker ,Nombre 
PFE UN Equity ,Pfizer Inc ,PNC UN Equity ,PNC Financial Services Group Inc/The ,ACN UN Equity ,Accenture PLC 
PG UN Equity ,Procter & Gamble Co/The ,PPG UN Equity ,PPG Industries Inc ,TDG UN Equity ,TransDigm Group Inc 
T UN Equity ,AT&T Inc ,PGR UN Equity ,Progressive Corp/The ,YUM UN Equity ,Yum! Brands Inc 
TRV UN Equity ,Travelers Cos Inc/The ,PEG UN Equity ,Public Service Enterprise Group Inc ,PLD UN Equity ,Prologis Inc 
UTX UN Equity ,United Technologies Corp ,RTN UN Equity ,Raytheon Co ,FE UN Equity ,FirstEnergy Corp 
ADI UW Equity ,Analog Devices Inc ,RHI UN Equity ,Robert Half International Inc ,VRSN UW Equity ,VeriSign Inc 
WMT UN Equity ,Walmart Inc ,EIX UN Equity ,Edison International ,PWR UN Equity ,Quanta Services Inc 
CSCO UW Equity ,Cisco Systems Inc ,SLB UN Equity ,Schlumberger Ltd ,HSIC UW Equity ,Henry Schein Inc 
INTC UW Equity ,Intel Corp ,SCHW UN Equity ,Charles Schwab Corp/The ,AEE UN Equity ,Ameren Corp 
GM UN Equity ,General Motors Co ,SHW UN Equity ,Sherwin-Williams Co/The ,ANSS UW Equity ,ANSYS Inc 
MSFT UW Equity ,Microsoft Corp ,SJM UN Equity ,JM Smucker Co/The ,NVDA UW Equity ,NVIDIA Corp 
DG UN Equity ,Dollar General Corp ,SNA UN Equity ,Snap-on Inc ,SEE UN Equity ,Sealed Air Corp 
CI UN Equity ,Cigna Corp ,AME UN Equity ,AMETEK Inc ,CTSH UW Equity ,Cognizant Technology Solutions Corp 
KMI UN Equity ,Kinder Morgan Inc/DE ,so UN Equity ,Southern Co/The ,SIVB UW Equity ,SVB Financial Group 
CUN Equity ,Citigroup Inc ,BBT UN Equity ,BB&T Corp ,ISRG UW Equity ,Intuitive Surgical Inc 
,American ,,,,Affiliated 
AIG UN Equity ,International Group Inc ,LUV UN Equity ,Southwest Airlines Co ,AMG UN Equity ,Managers Group Inc 
HON UN Equity ,Honeywell International Inc ,SWK UN Equity ,Stanley Black & Decker Inc ,TTWO UW Equity ,Take-Two Interactive Software Inc 
MO UN Equity ,Altria Group Inc ,PSA UN Equity ,Public Storage ,RSG UN Equity ,Republic Services Inc 
HCA UN Equity ,HCA Healthcare Inc ,ANET UN Equity ,Arista Networks Inc ,EBAY UW Equity ,eBay Inc 
UAA UN Equity ,Under Armour Inc ,STI UN Equity ,SunTrust Banks Inc ,GS UN Equity ,Goldman Sachs Group Inc/The 
IP UN Equity ,International Paper Co ,SYY UN Equity ,Sysco Corp ,SRE UN Equity ,Sempra Energy 
HPE UN Equity ,Hewlett Packard Enterprise Co ,CTVA UN Equity ,Corteva Inc ,SBAC UW Equity ,SBA Communications Corp 
ABT UN Equity ,Abbott Laboratories ,TXN UW Equity ,Texas Instruments Inc ,MCO UN Equity ,Moody's Corp 
AFL UN Equity ,Aflac Inc ,TXT UN Equity ,Textron Inc ,BKNG UW Equity ,Booking Holdings Inc 
APD UN Equity ,Air Products & Chemicals Inc ,TMO UN Equity ,Thermo Fisher Scientific Inc ,FFIV UW Equity ,F5 Networks Inc 


