Table
Nivel de mercado ,Valor observado (VO) ,Pago de derechos a vencimiento 
0 ,0 ,Ps.90.00 
2.02 ,5.00 ,Ps.90.00 
4.05 ,10.00 ,Ps.90.00 
6.07 ,15.00 ,Ps.90.00 
8.09 ,20.00 ,Ps.90.00 
10.12 ,25.00 ,Ps.90.00 
12.14 ,30.00 ,Ps.90.00 
14.16 ,35.00 ,Ps.90.00 
16.19 ,40.00 ,Ps.90.00 
18.21 ,45.00 ,Ps.90.00 
20.24 ,50.00 ,Ps.90.00 
22.26 ,55.00 ,Ps.90.00 
24.28 ,60.00 ,Ps.90.00 
26.31 ,65.00 ,Ps.90.00 
28.33 ,70.00 ,Ps.90.00 
30.35 ,75.00 ,Ps.90.00 
32.38 ,80.00 ,Ps.90.00 
34.40 ,85.00 ,Ps.90.00 
36.42 ,90.00 ,Ps.90.00 
38.45 ,95.00 ,Ps.95.00 
40.47 ,100.00 ,Ps.100.00 
42.49 ,105.00 ,Ps.107.50 
43.30 ,107.00 ,Ps.110.50 
44.52 ,110.00 ,Ps.115.00 
45.33 ,112.00 ,Ps.118.00 
46.14 ,114.00 ,Ps.110.00 
48.16 ,119.00 ,Ps.110.00 
50.18 ,124.00 ,Ps.110.00 


