Table
Millones de pesos ,,,,% ,Variación ,,,%Variación 
,3T20 ,2T20 ,3T19 ,TaT ,AaA ,9M20 ,9M19 ,20/19 
Intereses por disponibilidades ,513 ,609 ,"1,017 ",(15.8) ,(49.6) ,"1,839 ","2,895 ",(36.5) 
Intereses por cuentas de ,,,,,,,,
margen ,72 ,104 ,256 ,(30.8) ,(71.9) ,346 ,830 ,(58.3) 
Intereses y rendimientos de ,,,,,,,,
inversiones en valores ,"6,278 ","6,217 ","4,847 ",1.0 ,29.5 ,"18,949 ","14,156 ",33.9 
Intereses y rendimientos de cartera de crédito ,"16,194 ","17,623 ","18,738 ",(8.1) ,(13.6) ,"52,000 ","55,435 ",(6.2) 
Intereses y rendimiento tarjeta de crédito ,"3,553 ","3,507 ","3,809 ",1.3 ,(6.7) ,"10,910 ","11,097 ",(1.7) 
Comisiones por el ,,,,,,,,
otorgamiento inicial del crédito ,151 ,127 ,136 ,18.9 ,11.0 ,417 ,423 ,(1.4) 
Ingresos por reporto y ,,,,,,,,
préstamo de valores ,742 ,"1,196 ","1,662 ",(38.0) ,(55.4) ,"3,272 ","6,958 ",(53.0) 
Ingresos por intereses ,"27,503 ","29,383 ","30,465 ",(6.4) ,(9.7) ,"87,733 ","91,794 ",(4.4) 
Promedio diario de activos productivos ,"1,430,590 ","1,423,671 ","1,156,479 ",0.5 ,23.7 ,"1,364,944 ","1,162,217 ",17.4 
Intereses por depósitos de ,,,,,,,,
exigibilidad inmediata ,"(2,123) ","(2,583) ","(3,299) ",(17.8) ,(35.6) ,"(7,129) ","(9,500) ",(25.0) 
Intereses por depósitos a plazo ,"(3,507) ","(4,402) ","(4,704) ",(20.3) ,(25.4) ,"(12,330) ","(13,400) ",(8.0) 
Intereses por títulos de crédito emitidos ,"(1,324) ","(1,256) ",(893) ,5.4 ,48.3 ,"(3,379) ","(2,467) ",37.0 
Intereses por préstamos de bancos y otros organismos ,(791) ,(946) ,"(1,098) ",(16.4) ,(28.0) ,"(2,767) ","(3,319) ",(16.6) 
Intereses por obligaciones subordinadas ,(454) ,(478) ,(402) ,(5.0) ,12.9 ,"(1,345) ","(1,205) ",11.6 
Intereses a cargo por reporto ,"(3,215) ","(3,787) ","(3,480) ",(15.1) ,(7.6) ,"(11,867) ","(12,277) ",(3.3) 
Gastos por intereses ,"(11,414) ","(13,452) ","(13,876) ",(15.2) ,(17.7) ,"(38,817) ","(42,168) ",(7.9) 
Promedio diario de pasivos ,,,,,,,,
productivos ,"1,278,847 ","1,269,580 ","1,023,281 ",0.7 ,25.0 ,"1,221,061 ","1,029,221 ",18.6 
Margen financiero neto ,"16,089 ","15,931 ","16,589 ",1.0 ,(3.0) ,"48,916 ","49,626 ",(1.4) 


