Table
,3T20 ,2T20 ,3T19 ,9M20 ,9M19 
Tarjetas de crédito ,35.8 ,25.3 ,30.5 ,29.5 ,29.4 
Seguros ,27.5 ,29.1 ,25.7 ,27.4 ,26.8 
Manejo de cuentas ,14.1 ,13.9 ,13.5 ,13.9 ,13.1 
Servicios de cobros y pagos ,10.5 ,11.1 ,10.5 ,11.4 ,10.8 
Fondos de inversión ,8.7 ,8.6 ,8.7 ,8.6 ,8.5 
Comercio exterior ,7.3 ,8.5 ,6.7 ,8.1 ,7.1 
Compra venta de valores y operaciones de ,,,,,
mercado de dinero ,4.3 ,4.1 ,3.7 ,4.3 ,4.0 
Asesoría técnica y ofertas públicas ,2.6 ,9.3 ,8.9 ,7.0 ,7.9 
Negociación de cheques ,0.8 ,0.6 ,1.0 ,0.8 ,1.2 
Corresponsalías bancarias ,(4.7) ,(3.8) ,(4.5) ,(4.3) ,(4.3) 
Otras ,(6.9) ,(6.7) ,(4.7) ,(6.7) ,(4.5) 
Total ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 


