Table
Millones de pesos ,Sep-20 ,Jun-20 ,Sep-19 
Capital fundamental ,"100,880 ","96,915 ","94,694 "
Capital básico ,"111,944 ","108,451 ","104,548 "
Capital complementario ,"29,324 ","30,507 ","25,610 "
Total capital ,"141,268 ","138,958 ","130,158 "
Activos en riesgo ,,,
Riesgos de crédito ,"537,037 ","545,833 ","547,900 "
"Riesgos de crédito, mercado y operacional ","823,055 ","832,610 ","770,777 "
Riesgos de crédito: ,,,
Capital Fundamental (CET1) (%) ,18.78 ,17.76 ,17.28 
Capital Básico (Tier1) ,20.85 ,19.87 ,19.08 
Capital Complementario (Tier2) (%) ,5.46 ,5.59 ,4.67 
Índice de capitalización (%) ,26.31 ,25.46 ,23.76 
Riesgos totales: ,,,
Capital Fundamental (CET1) (%) ,12.26 ,11.64 ,12.29 
Capital Básico (Tier 1) ,13.60 ,13.03 ,13.56 
Capital Complementario (Tier2) (%) ,3.56 ,3.66 ,3.32 
Índice de capitalización (%) ,17.16 ,16.69 ,16.89 


