Table
Millones de pesos ,Criterios Contables Especiales ,Criterio Contable B-6 
Ingresos por intereses ,"87,733 ","86,489 "
De los cuales: ,,
Intereses de cartera de crédito: ,,
Créditos comerciales ,,
Actividad empresarial o comercial ,"30,053 ","29,349 "
Créditos de consumo ,"22,104 ","21,798 "
Créditos a la vivienda ,,
Media y residencial ,"10,033 ","9,800 "
De interés social ,2 ,1 
Créditos adquiridos al INFONAVIT o el FOVISSSTE ,"1,135 ","1,135 "
Total de ingresos por intereses de cartera de crédito ,"63,327 ","62,083 "
Estimación preventiva para riesgos crediticios ,,
Créditos comerciales ,,
Actividad empresarial o comercial ,"(9,883) ","(11,516) "
Créditos de consumo ,"(7,285) ","(6,912) "
Créditos a la vivienda ,,
Media y residencial ,(947) ,(665) 
De interés social ,5 ,5 
Créditos adquiridos al INFONAVIT el FOVISSSTE ,0 ,0 
Total de estimación preventiva para riesgos crediticios ,"(18,110) ","(19,088) "


Table
Criterios Contables Especiales ,17.16% 
Criterio Contable B-6 ,16.84% 
,(32) pb 


