Table
,,,Importe valorizado ,,,
,Pesos ,Dólares ,UDIS ,Euros ,Libras ,Total 
Actividad empresarial o comercial ,"284,302 ","69,775 ","2,230 ","3,193 ",963 ,"360,463 "
Entidades financieras ,"9,439 ","1,581 ",0 ,0 ,0 ,"11,020 "
Entidades gubernamentales ,"66,351 ","12,797 ","1,121 ",0 ,0 ,"80,269 "
Créditos comerciales ,"360,092 ","84,153 ","3,351 ","3,193 ",963 ,"451,752 "
Créditos al consumo ,"110,421 ",0 ,0 ,0 ,0 ,"110,421 "
Media y residencial ,"143,044 ",504 ,"2,079 ",0 ,0 ,"145,627 "
De interés social ,8 ,0 ,0 ,0 ,0 ,8 
Créditos adquiridos al INFONAVIT el FOVISSSTE ,"12,130 ",0 ,0 ,0 ,0 ,"12,130 "
Créditos a la vivienda ,"155,182 ",504 ,"2,079 ",0 ,0 ,"157,765 "
Total cartera de crédito vigente ,"625,695 ","84,657 ","5,430 ","3,193 ",963 ,"719,938 "


Table
,,Importe ,valorizado ,
,Pesos ,Dólares ,UDIS ,Total 
Actividad empresarial o comercial ,"3,365 ","2,415 ",0 ,"5,780 "
Entidades financieras ,2 ,0 ,0 ,2 
Créditos comerciales ,"3,367 ","2,415 ",0 ,"5,782 "
Créditos al consumo ,"2,637 ",0 ,0 ,"2,637 "
Media y residencial ,"5,110 ",102 ,304 ,"5,516 "


Table
Acciones ,0 ,"1,714 "
Opciones ,Larga ,Corta 
Tasa de interés ,"74,418 ","97,745 "
Divisas ,"67,604 ","76,815 "
Índices ,"1,341 ","1,022 "
Acciones ,686 ,632 
Total derivados con fines de negociación ,"8,850,582 ","197,064 "
Cobertura ,,
Flujo de efectivo ,,
Swaps de tasas ,"13,758 ",
Swaps de divisas ,"19,857 ",
Forward de divisas ,"60,507 ",
Valor razonable ,,
Swaps de tasas ,"5,100 ",
Swaps de divisas ,"38,698 ",
Total derivados con fines de cobertura ,"137,920 ",
Total de instrumentos financieros derivados ,"8,988,502 ","197,064 "


Table
Futuros ,Compra ,Venta 
Divisas ,0 ,"3,941 "
Índices ,"1,708 ",0 
Contratos adelantados ,,
Divisas ,"400,406 ","15,195 "
,,


