Table
Referencia ,Concepto ,sep-20 
1 ,Activos totales ,"1,841,207 "
2 ,Operaciones en instrumentos financieros derivados ,"(324,984) "
3 ,Operaciones en reporto y prestamos de valores ,"(21,813) "
4 ,"Activos fiduciarios reconocidos en el balance conforme al marco contable, pero excluidos de la medida de la exposición del coeficiente de apalancamiento ",0 
5 ,Exposiciones dentro del Balance ,"1,494,410 "


Table
Referencia ,Descripción ,sep-20 
1 ,Activos totales ,"1,841,207 "
2 ,"Ajuste por inversiones en el capital de entidades bancarias, financieras, aseguradoras o comerciales que se consolidan a efectos contables, pero quedan fuera del ámbito de consolidación regulatoria ",0 
3 ,"Ajuste relativo a activos fiduciarios reconocidos en el balance conforme al marco contable, pero excluidos de la medida de la exposición del coeficiente de apalancamiento ","(50,147) "
4 ,Ajuste por instrumentos financieros derivados ,"(242,024) "
5 ,Ajuste por operaciones de reporto y préstamo de valores[¹ ,"2,107 "
6 ,Ajuste por partidas reconocidas en cuentas de orden ,"89,494 "
7 ,Otros ajustes ,
,Exposición del coeficiente de apalancamiento ,"1,640,636 "


Table
8 ,"(Exposición por operaciones en instrumentos financieros derivados por cuenta de clientes, en las que el socio liquidador no otorga su garantía en caso del incumplimiento de las obligaciones de la Contraparte Central) ",
9 ,Importe nocional efectivo ajustado de los instrumentos financieros derivados de crédito suscritos ,
10 ,(Compensaciones realizadas al nocional efectivo ajustado de los instrumentos financieros derivados de crédito suscritos y deducciones de los factores adicionales por los instrumentos financieros derivados de crédito suscritos) ,
11 ,Exposiciones totales a instrumentos financieros derivados (suma de las líneas 4a 10) ,"82,960 "
,Exposiciones por operaciones de financiamiento con valores ,
12 ,"Activos SFT brutos (sin reconocimiento de compensación), después de ajustes por transacciones contables por ventas ","68,887 "
13 ,(Cuentas por pagar y por cobrar de SFT compensadas) ,"(47,074) "
14 ,Exposición Riesgo de Contraparte por SFT ,"2,107 "
15 ,Exposiciones por SFT actuando por cuenta de terceros ,
16 ,Exposiciones totales por operaciones de financiamiento con valores (suma de las líneas 12 a 15) ,"23,920 "
,Otras exposiciones fuera de balance ,
17 ,Exposición fuera de balance (importe nocional bruto) ,"141,002 "
18 ,(Ajustes por conversión a equivalentes crediticios) ,"(51,507) "
19 ,Partidas fuera de balance (suma de las líneas 17 y 18) ,"89,494 "
,Capital y exposiciones totales ,
20 ,Capital de Nivel 1 ,"111,944 "
21 ,"Exposiciones totales (suma de las líneas 3, 11, 16 y 19) ","1,640,636 "
,Coeficiente de apalancamiento ,
22 ,Coeficiente de apalancamiento de Basilea III ,6.82% 


