Table
Segmento ,oct-20 ,nov-20 ,dic-20 ,Promedio 
"Riesgo Soberano, Banca de Desarrollo e ",,,,
Instituciones Financieras ,"1,214 ","1,013 ","1,110 ","1,112 "
Corporativos ,504 ,479 ,455 ,479 
Project Finance ,417 ,432 ,422 ,423 
Empresas ,284 ,300 ,292 ,292 


Table
Millones de dólares americanos ,,,,
Segmento ,oct-20 ,nov-20 ,dic-20 ,Promedio 
"Riesgo Soberano, Banca de Desarrollo e ",,,,
Instituciones Financieras ,"25,351 ","25,865 ","27,414 ","26,210 "
Corporativos ,(342) ,(270) ,(240) ,(284) 
Project Finance ,272 ,300 ,302 ,291 
Empresas ,182 ,199 ,195 ,192 


