Table
Millones de pesos ,Importe sin ponderar (promedio) ,Importe ponderado (promedio) 
15 Otras obligaciones de financiamiento contingentes ,"9,855 ","9,855 "
16 Total de Salidas de Efectivo ,No aplica ,"228,109 "
Entradas de Efectivo ,,
17 Entradas de efectivo por operaciones garantizadas ,"71,234 ","1,863 "
18 Entradas de efectivo por operaciones no garantizadas ,"148,486 ","122,385 "
19 Otras entradas de efectivo ,"18,318 ","18,318 "
20 Total de Entradas de Efectivo ,"238,037 ","142,566 "
,,Importe ajustado 
21 Total de Activos Líquidos Computables ,No aplica ,"251,759 "
22 Total Neto de Salidas de Efectivo ,No aplica ,"87,119 "
23 Coeficiente de Coberturas de Liquidez ,No aplica ,312.98% 


