Table
Emisora ,Clave de pizarra 
"Facebook, Inc. ",FB* 
Energy Select Sector SPDR ,XLE* 
iShares China Large-Cap ETF ,FXI* 
The Coca-Cola Company ,KO* 
"Amazon.Com, Inc. ",AMZN* 
Intel Corporaton ,INTC* 
CVS Health Corporation ,CVS* 
"Netflix, Inc. ",NFLX* 


Table
Nivel de mercado ,Valor observado ,Pago de derechos 
196.00 ,7519.62 ,Ps. 196.00 
201.00 ,7711.45 ,Ps. 201.00 
206.00 ,7903.27 ,Ps. 206.00 
211.00 ,8095.10 ,Ps. 211.00 
216.00 ,8286.93 ,Ps. 216.00 
221.00 ,8478.75 ,Ps. 221.00 
226.00 ,8670.58 ,Ps. 226.00 
231.00 ,8862.41 ,Ps. 231.00 


