Table
Millones de pesos ,,,,,,
,Dic-20 ,% ,Sep-20 ,% ,Dic-19 ,% 
Cartera vigente Comercial ,"407,941 ",58.0 ,"451,752 ",61.4 ,"439,076 ",61.5 
Individuos ,"273,188 ",38.9 ,"268,186 ",36.5 ,"258,323 ",36.2 
Consumo ,"108,173 ",15.4 ,"110,421 ",15.0 ,"112,663 ",15.8 
Tarjeta de crédito ,"49,793 ",7.1 ,"51,863 ",7.1 ,"57,014 ",8.0 
Otros Consumo ,"58,380 ",8.3 ,"58,558 ",8.0 ,"55,649 ",7.8 
Hipotecario ,"165,015 ",23.5 ,"157,765 ",21.5 ,"145,660 ",20.4 
Subtotal vigente ,"681,129 ",96.9 ,"719,938 ",97.9 ,"697,399 ",97.7 
Cartera Vencida Comercial ,"6,245 ",0.9 ,"5,783 ",0.8 ,"5,553 ",0.8 
Individuos ,"15,395 ",2.2 ,"9,609 ",1.3 ,"10,728 ",1.5 
Consumo ,"7,539 ",1.1 ,"2,637 ",0.4 ,"4,459 ",0.6 
Tarjeta de crédito ,"4,016 ",0.6 ,"1,433 ",0.2 ,"2,463 ",0.3 
Otros Consumo ,"3,523 ",0.5 ,"1,204 ",0.2 ,"1,996 ",0.3 
Hipotecario ,"7,856 ",1.1 ,"6,972 ",0.9 ,"6,269 ",0.9 
Subtotal vencida ,"21,640 ",3.1 ,"15,392 ",2.1 ,"16,281 ",2.3 
Total cartera de crédito Comercial ,"414,186 ",58.9 ,"457,535 ",62.2 ,"444,629 ",62.3 
Individuos ,"288,583 ",41.1 ,"277,795 ",37.8 ,"269,051 ",37.7 
Consumo ,"115,712 ",16.5 ,"113,058 ",15.4 ,"117,122 ",16.4 
Tarjeta de crédito ,"53,809 ",7.7 ,"53,296 ",7.2 ,"59,478 ",8.3 
Otros Consumo ,"61,903 ",8.8 ,"59,762 ",8.1 ,"57,644 ",8.1 
Hipotecario ,"172,871 ",24.6 ,"164,737 ",22.4 ,"151,929 ",21.3 
Total cartera de crédito ,"702,769 ",100.0 ,"735,330 ",100.0 ,"713,680 ",100.0 


