Table
,Valor ,Fechas de observación 1 a ,Fechas de observación 1a ,Fecha de observación 
Nivel de mercado ,observado ,3 ,3 ,4 
0.00 ,0.00 ,Ps. 0.00 ,Ps. 0.00 ,Ps. 70.00 
24.57 ,5.00 ,Ps. 0.00 ,Ps. 0.00 ,Ps. 70.00 
49.14 ,10.00 ,Ps. 0.00 ,Ps. 0.00 ,Ps. 70.00 
73.70 ,15.00 ,Ps. 0.00 ,Ps. 0.00 ,Ps. 70.00 
98.27 ,20.00 ,Ps. 0.00 ,Ps. 0.00 ,Ps. 70.00 
122.84 ,25.00 ,Ps. 0.00 ,Ps. 0.00 ,Ps. 70.00 
147.41 ,30.00 ,Ps. 0.00 ,Ps. 0.00 ,Ps. 70.00 
171.98 ,35.00 ,Ps. 0.00 ,Ps. 0.00 ,Ps. 70.00 
196.54 ,40.00 ,Ps. 0.00 ,Ps. 0.00 ,Ps. 70.00 
221.11 ,45.00 ,Ps. 0.00 ,Ps. 0.00 ,Ps. 70.00 
245.68 ,50.00 ,Ps. 0.00 ,Ps. 0.00 ,Ps. 70.00 
270.25 ,55.00 ,Ps. 0.00 ,Ps. 0.00 ,Ps. 70.00 
294.82 ,60.00 ,Ps. 0.00 ,Ps. 0.00 ,Ps. 70.00 
319.38 ,65.00 ,Ps. 0.00 ,Ps. 0.00 ,Ps. 75.00 
343.95 ,70.00 ,Ps. 0.00 ,Ps. 0.00 ,Ps. 80.00 
368.52 ,75.00 ,Ps. 0.00 ,Ps. 0.00 ,Ps. 85.00 
393.09 ,80.00 ,Ps. 0.00 ,Ps.0.00 ,Ps. 90.00 
417.66 ,85.00 ,Ps. 0.00 ,Ps. 0.00 ,Ps. 95.00 


