Table
Ingresos por intereses ,,,,,,,,,
Millones de pesos ,,4T20 ,,,4T19 ,,,Variación AaA ,
,Saldo promedio ,Interés ,Tasa (%) ,Saldo promedio ,Interés ,Tasa (%) ,Saldo promedio (%) ,Interés (%) ,Tasa (pb) 
Disponibilidades ,"126,805 ",464 ,1.43 ,"86,653 ",863 ,3.90 ,46.3 ,(46.2) ,(247) 
Cuentas de margen ,"33,281 ",66 ,0.78 ,"20,198 ",188 ,3.64 ,64.8 ,(64.9) ,(286) 
Inversiones en valores ,"511,398 ","6,398 ",4.90 ,"371,223 ","6,657 ",7.02 ,37.8 ,(3.9) ,(212) 
Cartera total ,"711,539 ","18,810 ",10.34 ,"698,817 ","22,422 ",12.56 ,1.8 ,(16.1) ,(222) 
Comisiones por el ,,,,,,,,,
otorgamiento inicial ,,,,,,,,,
del crédito ,- ,137 ,- ,0 ,142 ,- ,- ,(3.5) ,- 
Reportos y préstamo ,,,,,,,,,
de valores ,"61,990 ",666 ,4.20 ,"64,983 ","1,272 ",7.66 ,(4.6) ,(47.6) ,(346) 
Ingresos por intereses ,"1,445,013 ","26,541 ",7.19 ,"1,241,874 ","31,544 ",9.94 ,16.4 ,(15.9) ,(275) 


