Table
del 1o. de enero al 31 de diciembre de 2020 ,,
Millones de pesos ,,
ACTIVIDADES DE OPERACIÓN ,,
Resultado neto ,,"20,154 "
Ajuste por partidas que no implican flujo de efectivo ,,
Resultado por valorización asociada a actividades de operación ,"(6,139) ",
Participación en el resultado de asociadas ,(178) ,
"Depreciaciones de inmuebles, mobiliario y equipo ","1,785 ",
Amortizaciones de activos intangibles ,"2,474 ",
Reconocimiento de pagos basados en acciones ,83 ,
Impuestos a la utilidad causados y diferidos ,"6,677 ",
Participación de los trabajadores en las utilidades diferida ,21 ,
Provisiones ,590 ,
Amortizaciones de gastos de emisión de deuda ,18 ,"5,331 "
ACTIVIDADES DE OPERACIÓN ,,"25,485 "
Cuentas de margen ,,"1,030 "
Inversiones en valores ,,"(210,570) "
Deudores por reporto ,,"(58,140) "
Derivados (activo) ,,"(144,548) "
Cartera de crédito (neto) ,,"15,487 "
Beneficios a recibir en operaciones de bursatilización ,,(3) 
Bienes adjudicados ,,92 
Otros activos operativos ,,"(34,183) "
Captación ,,"98,658 "
Préstamos bancarios y de otros organismos ,,"2,597 "
Acreedores por reporto ,,"142,593 "
Colaterales vendidos o dados en garantía ,,"6,686 "
Derivados (pasivo) ,,"150,886 "
Otros pasivos operativos ,,"16,314 "
Pagos de impuestos a la utilidad ,,"(3,956) "
Flujos netos de efectivo de actividades de operación ,,"(17,057) "
ACTIVIDADES DE INVERSIÓN ,,
"Cobros por disposición de inmuebles, mobiliario y equipo ",,6 
"Pagos por adquisición de inmuebles, mobiliario y equipo ",,"(3,385) "
Pagos por adquisición de activos intangibles ,,"(2,480) "
Pagos por adquisición de subsidiarias y asociadas ,,(823) 
Flujos netos de efectivo de actividades de inversión ,,"(6,682) "
ACTIVIDADES DE FINANCIAMIENTO ,,
"Pago de intereses sobre obligaciones subordinadas, no preferentes, perpetuas y ",,
susceptibles de convertirse en capital ,,(676) 
Pagos asociados a la recompra de acciones propias ,,(58) 
Flujos netos de efectivo de actividades de financiamiento ,,(734) 
Decremento neto de efectivo y equivalentes de efectivo ,,"(1,012) "
Efectos por cambios en el valor del efectivo y equivalentes de efectivo ,,"8,162 "
Efectivo y equivalentes de efectivo al inicio del periodo ,,"85,628 "
Efectivo y equivalentes de efectivo al final del periodo ,,"94,802 "


