Table
,Conceptos regulatorios ,considerados para el cálculo ,de los componentes del Capital ,Neto 
Identificador ,Conceptos regulatorios considerados para el cálculo de los componentes del Capital Neto ,Referencia del formato de revelación de la integración de capital del apartado I del presente anexo ,Monto de conformidad con las notas a la tabla Conceptos regulatorios considerados para el cálculo de los componentes del Capital Neto ,Referencia(s) del rubro del balance general y monto relacionado con el concepto regulatorio considerado para el cálculo del Capital Neto proveniente de la referencia mencionada. 
,Activo ,,,
1 ,Crédito mercantil ,8 ,"2,404 ","BG16= 10,081 Menos: cargos diferidos y pagos anticipados 1,629; intangibles 6,648; otros activos que computan como activos en riesgo 1,328; Más: Intangibles que se reconocen en el pasivo 1,928 "
2 ,Otros Intangibles ,9 ,"6,648 ","BG16= = 10,081 Menos: cargos diferidos y pagos anticipados 1,629; intangibles 2,404; otros activos que computan como activos en riesgo 1,328; Más: Intangibles que se reconocen en el pasivo 1,928 "
3 ,Impuesto a la utilidad diferida (a favor) proveniente de pérdidas y créditos fiscales ,10 ,0 ,
4 ,Beneficios sobre el remanente en operaciones de burzatilización ,13 ,0 ,


Table
,Cuentas de orden ,"3,848,818 "
BG31 ,Avales otorgados ,
BG32 ,Activos y pasivos contingentes ,63 
BG33 ,Compromisos crediticios ,"155,431 "
BG34 ,Bienes en fideicomiso o mandato ,"204,365 "
BG35 ,Agente financiero del gobierno federal ,
BG36 ,Bienes en custodia o en administración ,"1,730,422 "
BG37 ,Colaterales recibidos por la entidad ,"90,897 "
BG38 ,Colaterales recibidos y vendidos o entregados en garantía por la entidad ,"9,508 "
BG39 ,Operaciones de banca de inversión por cuenta de terceros (neto) ,0 
BG40 ,Intereses devengados no cobrados derivados de cartera de crédito vencida ,691 
BG41 ,Otras cuentas de registro ,"1,657,442 "


