Table
,,"Pagos Adicionales, si los hubiere, hasta, pero excluyendo, la fecha de amortización. "
16 ,Fechas subsecuentes de pago anticipado ,"No hay, salvo por las previstas como consecuencia de Razones Fiscales o Razones Especiales, mismas que se pueden realizar en cualquier momento antes de la Fecha de Vencimiento. "
,Rendimientos / dividendos ,
17 ,Tipo de Tasa de Interés ,"Fija. Sin embargo, la misma se recalculará en la Primera y única fecha de Pago Anticipado Voluntario. La tasa de interés resultante permanecerá fija hasta la Fecha de Vencimiento de la emisión. "
18 ,Tasa de Interés ,5.95%. 
19 ,Cláusula de cancelación de dividendos ,"Sujeto a ciertas excepciones, el Emisor no podrá realizar ciertas distribuciones durante la existencia y permanencia de un Período de Suspensión, incluyendo: (i) el pago de dividendos o distribuciones del capital social de Banco Santander México, (ii) realizar cualquier pago relacionado con instrumentos de deuda que tengan una prelación igual o inferior en derecho de pago o liquidación al de los Instrumentos, o (iii) realizar cualquier pago de garantías respecto de cualquier garantía que haya otorgado sobre instrumentos de sus subsidiarias si dicha garantía tiene una prelación igual o menor en derecho de pago o liquidación al de los Instrumentos. "
20 ,Discrecionalidad en el pago de intereses ,Obligatorio. 
21 ,¿Existe alguna cláusula que genere incentivos a que el Emisor pague anticipadamente el Instrumento? ,No. 
22 ,¿Los intereses son acumulables? ,"Son Acumulables. El Emisor tendrá el derecho y diferirá, pero no cancelará (excepto por motivo de un Evento de Actualización del Supuesto de Pérdida de Valor), el pago de intereses y de principal del Instrumento, si la CNBV instituye ciertas medidas correctivas sobre el Emisor si el mismo es clasificado como Clase III o menor (o una clasificación equivalente en provisiones sucesorias) bajo las reglas de capitalización en México. El pago de intereses devengados y no pagados será acumulado. Sujeto a la no existencia de uno o varios Eventos de Actualización del Supuesto de Pérdida de Valor, al terminar un Período de Suspensión, el pago de intereses devengados y no pagados y de principal del Instrumento se realizará de nueva cuenta. "
23 ,Convertibilidad del instrumento ,No. 
24 ,Evento de Actualización del Supuesto de Conversión ,N.A. 
25 ,Monto de la Conversión ,N.A. 
26 ,Precio de Conversión ,N.A. 
27 ,Tipo de Conversión del Instrumento ,N.A. 
28 ,Tipo de instrumento financiero en los que se convertiría el Instrumento de Capital ,N.A. 
29 ,Emisor de dicho instrumento financiero. ,N.A. 
30 ,Cláusula de Pérdida de Valor (Write-Down) ,Sí. 
31 ,Evento de Actualización del Supuesto de Pérdida de Valor ,"Ocurrirá un ""Evento de Actualización del Supuesto de Pérdida de Valor"": (i) Si la CNBV publica una determinación, en la publicación oficial que realice respecto de los niveles de capitalización de las instituciones de banca múltiple, que el Coeficiente de Capital Fundamental de Banco "


