Table
Referencia ,Concepto ,dic-20 
1 ,Activos totales ,"1,843,488 "
2 ,Operaciones en instrumentos financieros derivados ,"(304,687) "
3 ,Operaciones en reporto y prestamos de valores ,"(60,840) "
4 ,"Activos fiduciarios reconocidos en el balance conforme al marco contable, pero excluidos de la medida de la exposición del coeficiente de apalancamiento ",0 
5 ,Exposiciones dentro del Balance ,"1,477,961 "


Table
Referencia ,Descripción ,dic-20 
1 ,Activos totales ,"1,843,488 "
2 ,"Ajuste por inversiones en el capital de entidades bancarias, financieras, aseguradoras o comerciales que se consolidan a efectos contables, pero quedan fuera del ámbito de consolidación regulatoria ",0 
3 ,"Ajuste relativo a activos fiduciarios reconocidos en el balance conforme al marco contable, pero excluidos de la medida de la exposición del coeficiente de apalancamiento ","(44,479) "
4 ,Ajuste por instrumentos financieros derivados ,"(226,609) "
5 ,Ajuste por operaciones de reporto y préstamo de valores[¹ ,"2,670 "
6 ,Ajuste por partidas reconocidas en cuentas de orden ,"105,758 "
7 ,Otros ajustes ,
,Exposición del coeficiente de apalancamiento ,"1,680,826 "


Table
8 ,"(Exposición por operaciones en instrumentos financieros derivados por cuenta de clientes, en las que el socio liquidador no otorga su garantía en caso del incumplimiento de las obligaciones de la Contraparte Central) ",
9 ,Importe nocional efectivo ajustado de los instrumentos financieros derivados de crédito suscritos ,
10 ,(Compensaciones realizadas al nocional efectivo ajustado de los instrumentos financieros derivados de crédito suscritos y deducciones de los factores adicionales por los instrumentos financieros derivados de crédito suscritos) ,
11 ,Exposiciones totales a instrumentos financieros derivados (suma de las líneas 4a 10) ,"78,077 "
,Exposiciones por operaciones de financiamiento con valores ,
12 ,"Activos SFT brutos (sin reconocimiento de compensación), después de ajustes por transacciones contables por ventas ","69,922 "
13 ,(Cuentas por pagar y por cobrar de SFT compensadas) ,"(9,083) "
14 ,Exposición Riesgo de Contraparte por SFT ,"2,670 "
15 ,Exposiciones por SFT actuando por cuenta de terceros ,
16 ,Exposiciones totales por operaciones de financiamiento con valores (suma de las líneas 12 a 15) ,"63,509 "
,Otras exposiciones fuera de balance ,
17 ,Exposición fuera de balance (importe nocional bruto) ,"155,431 "
18 ,(Ajustes por conversión a equivalentes crediticios) ,"(49,673) "
19 ,Partidas fuera de balance (suma de las líneas 17 y 18) ,"105,758 "
,Capital y exposiciones totales ,
20 ,Capital de Nivel 1 ,"124,255 "
21 ,"Exposiciones totales (suma de las líneas 3, 11, 16y 19) ","1,680,826 "
,Coeficiente de apalancamiento ,
22 ,Coeficiente de apalancamiento de Basilea III ,7.39% 


